Time,Theta,PeakType,AbsAmp
25.144211,-0.059055414356085655,min,0.04973087065425831
25.145211,-0.059055414356085655,max,0.04973087065425831
25.146211,-0.059055414356085655,min,0.04973087065425831
25.147211,-0.059055414356085655,max,0.04973087065425831
25.149211,-0.06060950788193896,min,0.051284964180111615
25.150211,-0.06060950788193896,max,0.051284964180111615
25.151211,-0.06060950788193896,min,0.051284964180111615
25.152211,-0.06060950788193896,max,0.051284964180111615
25.153211,-0.06060950788193896,min,0.051284964180111615
25.154211,-0.06060950788193896,max,0.051284964180111615
25.155211,-0.06216360140779228,min,0.052839057705964934
25.156211,-0.06216360140779228,max,0.052839057705964934
25.157211,-0.06216360140779228,min,0.052839057705964934
25.158212,-0.06216360140779228,max,0.052839057705964934
25.159212,-0.06216360140779228,min,0.052839057705964934
25.160212,-0.06216360140779228,max,0.052839057705964934
25.161212,-0.06216360140779228,min,0.052839057705964934
25.162212,-0.06216360140779228,max,0.052839057705964934
25.163212,-0.06371767748035306,min,0.05439313377852572
25.164212,-0.06371767748035306,max,0.05439313377852572
25.165212,-0.06371767748035306,min,0.05439313377852572
25.166212,-0.06371767748035306,max,0.05439313377852572
25.167212,-0.06371767748035306,min,0.05439313377852572
25.168212,-0.06371767748035306,max,0.05439313377852572
25.169212,-0.06371767748035306,min,0.05439313377852572
25.170212,-0.06371767748035306,max,0.05439313377852572
25.172212,-0.06527177100620637,min,0.05594722730437903
25.173212,-0.06527177100620637,max,0.05594722730437903
25.174212,-0.06527177100620637,min,0.05594722730437903
25.175212,-0.06527177100620637,max,0.05594722730437903
25.176212,-0.06527177100620637,min,0.05594722730437903
25.177212,-0.06527177100620637,max,0.05594722730437903
25.178212,-0.06527177100620637,min,0.05594722730437903
25.179212,-0.06527177100620637,max,0.05594722730437903
25.180212,-0.06527177100620637,min,0.05594722730437903
25.181212,-0.06527177100620637,max,0.05594722730437903
25.182212,-0.06527177100620637,min,0.05594722730437903
25.183212,-0.06527177100620637,max,0.05594722730437903
25.184213,-0.06527177100620637,min,0.05594722730437903
25.185213,-0.06527177100620637,max,0.05594722730437903
25.186213,-0.06527177100620637,min,0.05594722730437903
25.187213,-0.06527177100620637,max,0.05594722730437903
25.188213,-0.06527177100620637,min,0.05594722730437903
25.189213,-0.06527177100620637,max,0.05594722730437903
25.190213,-0.06527177100620637,min,0.05594722730437903
25.191213,-0.06527177100620637,max,0.05594722730437903
25.192213,-0.06527177100620637,min,0.05594722730437903
25.193213,-0.06527177100620637,max,0.05594722730437903
25.194213,-0.06682586453205969,min,0.05750132083023234
25.195213,-0.06682586453205969,max,0.05750132083023234
25.196213,-0.06682586453205969,min,0.05750132083023234
25.198213,-0.06527177100620637,max,0.05594722730437903
25.199213,-0.06527177100620637,min,0.05594722730437903
25.200213,-0.06527177100620637,max,0.05594722730437903
25.201213,-0.06527177100620637,min,0.05594722730437903
25.202213,-0.06527177100620637,max,0.05594722730437903
25.203213,-0.06527177100620637,min,0.05594722730437903
25.204213,-0.06527177100620637,max,0.05594722730437903
25.205213,-0.06527177100620637,min,0.05594722730437903
25.206218,-0.06527177100620637,max,0.05594722730437903
25.207218,-0.06527177100620637,min,0.05594722730437903
25.208218,-0.06527177100620637,max,0.05594722730437903
25.209218,-0.06527177100620637,min,0.05594722730437903
25.210218,-0.06527177100620637,max,0.05594722730437903
25.211218,-0.06527177100620637,min,0.05594722730437903
25.212218,-0.06527177100620637,max,0.05594722730437903
25.213218,-0.06527177100620637,min,0.05594722730437903
25.214218,-0.06527177100620637,max,0.05594722730437903
25.215218,-0.06527177100620637,min,0.05594722730437903
25.216218,-0.06527177100620637,max,0.05594722730437903
25.217218,-0.06527177100620637,min,0.05594722730437903
25.218218,-0.06527177100620637,max,0.05594722730437903
25.219218,-0.06527177100620637,min,0.05594722730437903
25.220218,-0.06527177100620637,max,0.05594722730437903
25.221218,-0.06527177100620637,min,0.05594722730437903
25.222218,-0.06371767748035306,max,0.05439313377852572
25.223218,-0.06371767748035306,min,0.05439313377852572
25.224218,-0.06371767748035306,max,0.05439313377852572
25.225218,-0.06371767748035306,min,0.05439313377852572
25.226218,-0.06371767748035306,max,0.05439313377852572
25.227218,-0.06371767748035306,min,0.05439313377852572
25.228218,-0.06371767748035306,max,0.05439313377852572
25.229218,-0.06371767748035306,min,0.05439313377852572
25.230218,-0.06371767748035306,max,0.05439313377852572
25.231218,-0.06371767748035306,min,0.05439313377852572
25.233218,-0.06216360140779228,max,0.052839057705964934
25.234218,-0.06216360140779228,min,0.052839057705964934
25.235218,-0.06216360140779228,max,0.052839057705964934
25.236218,-0.06216360140779228,min,0.052839057705964934
25.237218,-0.06216360140779228,max,0.052839057705964934
25.238218,-0.06216360140779228,min,0.052839057705964934
25.240218,-0.06060950788193896,max,0.051284964180111615
25.241218,-0.06060950788193896,min,0.051284964180111615
25.242218,-0.06060950788193896,max,0.051284964180111615
25.243218,-0.06060950788193896,min,0.051284964180111615
25.244218,-0.06060950788193896,max,0.051284964180111615
25.245218,-0.06060950788193896,min,0.051284964180111615
25.247218,-0.059055414356085655,max,0.04973087065425831
25.248218,-0.059055414356085655,min,0.04973087065425831
25.249218,-0.059055414356085655,max,0.04973087065425831
25.250218,-0.059055414356085655,min,0.04973087065425831
25.251218,-0.059055414356085655,max,0.04973087065425831
25.252218,-0.059055414356085655,min,0.04973087065425831
25.253218,-0.057501320830232336,max,0.04817677712840499
25.254219,-0.057501320830232336,min,0.04817677712840499
25.255219,-0.057501320830232336,max,0.04817677712840499
25.256219,-0.057501320830232336,min,0.04817677712840499
25.257219,-0.057501320830232336,max,0.04817677712840499
25.258219,-0.057501320830232336,min,0.04817677712840499
25.259219,-0.057501320830232336,max,0.04817677712840499
25.260219,-0.057501320830232336,min,0.04817677712840499
25.262219,-0.05594722730437903,max,0.04662268360255169
25.263219,-0.05594722730437903,min,0.04662268360255169
25.264219,-0.05594722730437903,max,0.04662268360255169
25.265219,-0.05594722730437903,min,0.04662268360255169
25.266219,-0.05594722730437903,max,0.04662268360255169
25.267219,-0.05594722730437903,min,0.04662268360255169
25.269219,-0.05439315123181824,max,0.045068607529990895
25.270219,-0.05439315123181824,min,0.045068607529990895
25.271219,-0.05439315123181824,max,0.045068607529990895
25.272219,-0.05439315123181824,min,0.045068607529990895
25.274219,-0.05283905770596493,max,0.04351451400413758
25.275219,-0.05283905770596493,min,0.04351451400413758
25.276219,-0.05283905770596493,max,0.04351451400413758
25.277219,-0.05283905770596493,min,0.04351451400413758
25.278219,-0.05283905770596493,max,0.04351451400413758
25.279219,-0.05283905770596493,min,0.04351451400413758
25.280219,-0.05128496418011162,max,0.04196042047828428
25.281219,-0.05128496418011162,min,0.04196042047828428
25.282219,-0.05128496418011162,max,0.04196042047828428
25.283219,-0.05128496418011162,min,0.04196042047828428
25.284219,-0.05128496418011162,max,0.04196042047828428
25.285219,-0.05128496418011162,min,0.04196042047828428
25.286219,-0.049730870654258304,max,0.04040632695243096
25.287219,-0.049730870654258304,min,0.04040632695243096
25.288219,-0.049730870654258304,max,0.04040632695243096
25.289219,-0.049730870654258304,min,0.04040632695243096
25.291219,-0.048176777128405,max,0.038852233426577655
25.292219,-0.048176777128405,min,0.038852233426577655
25.293219,-0.048176777128405,max,0.038852233426577655
25.294219,-0.048176777128405,min,0.038852233426577655
25.295219,-0.048176777128405,max,0.038852233426577655
25.296219,-0.048176777128405,min,0.038852233426577655
25.298219,-0.04662270105584421,max,0.03729815735401686
25.299219,-0.04662270105584421,min,0.03729815735401686
25.300236,-0.04662270105584421,max,0.03729815735401686
25.301236,-0.04662270105584421,min,0.03729815735401686
25.302236,-0.04506860752999089,max,0.035744063828163544
25.303236,-0.04506860752999089,min,0.035744063828163544
25.304237,-0.04506860752999089,max,0.035744063828163544
25.305237,-0.04506860752999089,min,0.035744063828163544
25.306237,-0.04506860752999089,max,0.035744063828163544
25.307237,-0.04506860752999089,min,0.035744063828163544
25.309237,-0.04351451400413758,max,0.03418997030231024
25.310237,-0.04351451400413758,min,0.03418997030231024
25.311237,-0.04351451400413758,max,0.03418997030231024
25.312237,-0.04351451400413758,min,0.03418997030231024
25.313237,-0.04196042047828427,max,0.03263587677645693
25.314237,-0.04196042047828427,min,0.03263587677645693
25.315237,-0.04196042047828427,max,0.03263587677645693
25.316237,-0.04196042047828427,min,0.03263587677645693
25.318237,-0.040406344405723486,max,0.031081800703896142
25.319237,-0.040406344405723486,min,0.031081800703896142
25.32025,-0.040406344405723486,max,0.031081800703896142
25.321257,-0.040406344405723486,min,0.031081800703896142
25.323262,-0.038852250879870175,max,0.02952770717804283
25.324262,-0.038852250879870175,min,0.02952770717804283
25.325262,-0.038852250879870175,max,0.02952770717804283
25.326262,-0.038852250879870175,min,0.02952770717804283
25.328262,-0.037298157354016856,max,0.027973613652189512
25.329262,-0.037298157354016856,min,0.027973613652189512
25.330262,-0.037298157354016856,max,0.027973613652189512
25.331262,-0.037298157354016856,min,0.027973613652189512
25.333262,-0.03574406382816355,max,0.026419520126336207
25.334262,-0.03574406382816355,min,0.026419520126336207
25.335262,-0.03574406382816355,max,0.026419520126336207
25.336262,-0.03574406382816355,min,0.026419520126336207
25.337262,-0.03418997030231024,max,0.024865426600482896
25.338262,-0.03418997030231024,min,0.024865426600482896
25.339262,-0.03418997030231024,max,0.024865426600482896
25.340262,-0.03418997030231024,min,0.024865426600482896
25.341281,-0.03418997030231024,max,0.024865426600482896
25.342291,-0.03418997030231024,min,0.024865426600482896
25.343291,-0.03263589422974945,max,0.023311350527922103
25.344291,-0.03263589422974945,min,0.023311350527922103
25.345291,-0.03263589422974945,max,0.023311350527922103
25.346291,-0.03263589422974945,min,0.023311350527922103
25.347291,-0.03263589422974945,max,0.023311350527922103
25.348291,-0.03263589422974945,min,0.023311350527922103
25.349291,-0.03108180070389614,max,0.02175725700206879
25.350291,-0.03108180070389614,min,0.02175725700206879
25.351291,-0.03108180070389614,max,0.02175725700206879
25.352291,-0.03108180070389614,min,0.02175725700206879
25.353291,-0.029527707178042827,max,0.02020316347621548
25.354291,-0.029527707178042827,min,0.02020316347621548
25.355291,-0.029527707178042827,max,0.02020316347621548
25.356291,-0.029527707178042827,min,0.02020316347621548
25.357291,-0.029527707178042827,max,0.02020316347621548
25.358291,-0.029527707178042827,min,0.02020316347621548
25.359291,-0.027973613652189516,max,0.018649069950362168
25.360291,-0.027973613652189516,min,0.018649069950362168
25.361291,-0.027973613652189516,max,0.018649069950362168
25.362291,-0.027973613652189516,min,0.018649069950362168
25.364291,-0.026419520126336207,max,0.017094976424508863
25.365291,-0.026419520126336207,min,0.017094976424508863
25.366291,-0.026419520126336207,max,0.017094976424508863
25.367295,-0.026419520126336207,min,0.017094976424508863
25.369295,-0.024865444053775415,max,0.01554090035194807
25.370295,-0.024865444053775415,min,0.01554090035194807
25.371295,-0.024865444053775415,max,0.01554090035194807
25.372295,-0.024865444053775415,min,0.01554090035194807
25.373295,-0.024865444053775415,max,0.01554090035194807
25.374295,-0.024865444053775415,min,0.01554090035194807
25.375295,-0.023311350527922103,max,0.013986806826094758
25.376295,-0.023311350527922103,min,0.013986806826094758
25.377295,-0.023311350527922103,max,0.013986806826094758
25.378295,-0.023311350527922103,min,0.013986806826094758
25.379295,-0.023311350527922103,max,0.013986806826094758
25.380295,-0.023311350527922103,min,0.013986806826094758
25.382295,-0.02175725700206879,max,0.012432713300241446
25.383295,-0.02175725700206879,min,0.012432713300241446
