file,part,shaper,tf_ms,cable_nom_mm,trial,applied_pattern,applied_amps,applied_delays_s,applied_amp_sum,mirror_amps,mirror_matches_shaper,tf_inferred_s,v_top_mm_s,plateau_fracs,move_dist_mm,rise_time_s
Bride_ZV_.5_.5_.91_1200_v2.csv,B,ZV,1500.0,1200.0,2.0,ZV,"[0.5, 0.5]","[0.0, 0.893]",1.0,"[-0.5, -0.5]",True,1.479,200.0,"[0.5, 1.0, 0.5]",295.0,2.295
Bride_ZV_.5_.5_.91_1200_v3.csv,B,ZV,1500.0,1200.0,3.0,ZV,"[0.5, 0.5]","[0.0, 0.79]",1.0,"[-0.5, -0.5]",True,1.377,200.0,"[0.5, 1.0, 0.5]",296.0,2.295
Bride_ZV_.5_.5_.91_600_v1.csv,B,ZV,1500.0,600.0,1.0,ZV,"[0.5, 0.5]","[0.0, 0.867]",1.0,"[-0.5, -0.5]",True,1.454,200.0,"[0.5, 1.0, 0.5]",289.0,2.244
Bride_ZV_.5_.5_.91_600_v2.csv,B,ZV,1500.0,600.0,2.0,ZV,"[0.5, 0.5]","[0.0, 0.842]",1.0,"[-0.5, -0.5]",True,1.454,200.0,"[0.5, 1.0, 0.5]",297.0,2.397
Bride_ZV_.5_.5_.91_600_v3.csv,B,ZV,1500.0,600.0,3.0,ZV,"[0.5, 0.5]","[0.0, 0.842]",1.0,"[-0.5, -0.5]",True,1.505,200.0,"[0.5, 1.0, 0.5]",288.0,2.296
Bride_ZV_.5_.5_.91_900_v1.csv,B,ZV,1500.0,900.0,1.0,ZV,"[0.5, 0.5]","[0.0, 0.791]",1.0,"[-0.5, -0.5]",True,1.454,200.0,"[0.5, 1.0, 0.5]",297.0,2.347
Bride_ZV_.5_.5_.91_900_v2.csv,B,ZV,1500.0,900.0,2.0,ZV,"[0.5, 0.5]","[0.0, 0.816]",1.0,"[-0.5, -0.5]",True,1.454,200.0,"[0.5, 1.0, 0.5]",297.0,2.347
Bride_ZV_.5_.5_.91_900_v3.csv,B,ZV,1500.0,900.0,3.0,ZV,"[0.5, 0.5]","[0.0, 0.842]",1.0,"[-0.5, -0.5]",True,1.454,200.0,"[0.5, 1.0, 0.5]",296.0,2.397
Bridge_100_-100_1100_v1.csv,A,Unshaped,1100.0,800.0,1.0,unshaped,[0.995],[0.0],0.995,[-0.995],True,1.097,201.0,[0.995],207.0,1.173
Bridge_100_-100_1100_v2.csv,A,Unshaped,1100.0,800.0,2.0,unshaped,[1.0],[0.0],1.0,[-1.0],True,1.097,200.0,[1.0],206.0,1.122
Bridge_100_-100_1100_v3.csv,A,Unshaped,1100.0,800.0,3.0,unshaped,[1.0],[0.0],1.0,[-1.0],True,1.02,200.0,[1.0],198.0,1.071
Bridge_100_-100_1600_v2.csv,A,Unshaped,1600.0,800.0,2.0,unshaped,[0.995],[0.0],0.995,[-0.995],True,1.53,201.0,[0.995],297.0,1.582
