w_rad_s,f_hz,cable_len_equiv_m,bridge_A_unshaped_tf1.1,bridge_A_unshaped_tf1.6,bridge_A_unshaped_tf2.0,bridge_A_ZV_tf1.1,bridge_A_ZV_tf1.6,bridge_A_ZV_tf2.0,bridge_B_unshaped,bridge_B_ZV_0.91,bridge_B_ZVD_asrun_0.91,bridge_B_ZVD_textbook_0.91,bridge_B_EI5_0.91,tower_ZV_0.84,tower_ZVD_asrun,tower_ZVD_textbook,tower_2modeZV,shaperonly_ZV_0.91,shaperonly_ZVD_textbook_0.91,shaperonly_ZVD_asrun_0.91,shaperonly_ZV_0.84,shaperonly_2modeZV
15.586322,2.48064,0.040368,1.0,1.0,1.0,0.744734,0.744734,0.744734,1.0,0.690518,0.528013,0.476815,0.450656,0.965596,1.0316,0.856705,0.490935,0.690518,0.476815,0.422411,0.965596,0.490935
15.599249,2.482698,0.040301,1.0,1.0,1.0,0.74084,0.74084,0.74084,1.0,0.686252,0.520193,0.470941,0.444488,0.96417,1.025949,0.852902,0.491658,0.686252,0.470941,0.416155,0.96417,0.491658
15.612177,2.484755,0.040234,1.0,1.0,1.0,0.73692,0.73692,0.73692,1.0,0.681962,0.512394,0.465071,0.438325,0.962715,1.020235,0.849055,0.492361,0.681962,0.465071,0.409915,0.962715,0.492361
15.625104,2.486813,0.040168,1.0,1.0,1.0,0.732975,0.732975,0.732975,1.0,0.677648,0.504617,0.459206,0.432167,0.961233,1.01446,0.845167,0.493044,0.677648,0.459206,0.403693,0.961233,0.493044
15.638032,2.48887,0.040101,1.0,1.0,1.0,0.729005,0.729005,0.729005,1.0,0.67331,0.496864,0.453347,0.426014,0.959721,1.008625,0.841236,0.493705,0.67331,0.453347,0.397491,0.959721,0.493705
15.650959,2.490928,0.040035,1.0,1.0,1.0,0.725011,0.725011,0.725011,1.0,0.66895,0.489137,0.447494,0.419869,0.958182,1.002729,0.837264,0.494347,0.66895,0.447494,0.391309,0.958182,0.494347
15.663887,2.492985,0.039969,1.0,1.0,1.0,0.720992,0.720992,0.720992,1.0,0.664566,0.481438,0.441648,0.413731,0.956614,0.996774,0.833251,0.494967,0.664566,0.441648,0.38515,0.956614,0.494967
15.676814,2.495042,0.039903,1.0,1.0,1.0,0.716949,0.716949,0.716949,1.0,0.66016,0.473769,0.435811,0.407601,0.955018,0.99076,0.829197,0.495567,0.66016,0.435811,0.379015,0.955018,0.495567
15.689741,2.4971,0.039837,1.0,1.0,1.0,0.712881,0.712881,0.712881,1.0,0.65573,0.466131,0.429982,0.401481,0.953394,0.984689,0.825103,0.496146,0.65573,0.429982,0.372905,0.953394,0.496146
15.702669,2.499157,0.039772,1.0,1.0,1.0,0.708789,0.708789,0.708789,1.0,0.651278,0.458527,0.424163,0.395371,0.951741,0.97856,0.82097,0.496703,0.651278,0.424163,0.366822,0.951741,0.496703
