part,shaper,tf_ms,cable_nom_mm,cable_infile_mm,trial,file,condition,applied_pattern,applied_amps,applied_delays_s,applied_amp_sum,tf_inferred_s,move_dist_mm,move_dur_s,rise_time_s,peak_vel_mm_s,amp_pp_mm,amp_pp_first,amp_pp_mean,amp_pp_max,rms,pred_amp_pp_mm,pred_over_meas,resid_window_s,cycles_available,n_cycles,T_meas_s,T_theory_s,T_err_pct,freq_fft_hz,zeta,move_t0,move_t1,good_for_plots,quality_notes
B,Unshaped,1500.0,900.0,901.0,3.0,Bridge_b_900_100_1500_v3.csv,Unshaped | L=0.9 m,unshaped,[1.0],[0.0],1.0,1.454,281.0,1.479,1.479,200.0,192.0,192.0,188.0,192.0,66.2832,164.5,0.8568,4.69,2.5,2.5,1.9219,1.9045,0.9154,0.5318,0.0042,1.375,2.853,False,"only 2.5 residual cycles recorded (handout asks for 4-5) - weakest trials, avoid for plots"
B,Unshaped,1500.0,1200.0,1200.0,1.0,Bridge_b_1200_100_1500_v1.csv,Unshaped | L=1.2 m,unshaped,[1.0],[0.0],1.0,1.428,287.0,1.53,1.479,200.0,212.0,212.0,207.4286,212.0,73.4741,248.5,1.1722,9.44,4.5,4.0,2.2193,2.1979,0.974,0.4588,0.002,1.476,3.006,True,
B,Unshaped,1500.0,1200.0,1200.0,2.0,Bridge_b_1200_100_1500_v2.csv,Unshaped | L=1.2 m,unshaped,[1.0],[0.0],1.0,1.428,289.0,1.581,1.53,200.0,199.0,199.0,194.1429,199.0,68.3831,250.8,1.2603,9.69,4.5,4.0,2.2175,2.1979,0.891,0.4594,0.0019,4.387,5.968,True,
B,Unshaped,1500.0,1200.0,1200.0,3.0,Bridge_b_1200_100_1500_v3.csv,Unshaped | L=1.2 m,unshaped,[1.0],[0.0],1.0,1.479,286.0,1.581,1.53,200.0,198.0,198.0,192.8571,198.0,67.6407,236.3,1.1934,11.53,5.5,4.0,2.2116,2.1979,0.6219,0.4587,0.0023,1.479,3.06,True,
B,ZV,1500.0,600.0,603.0,1.0,Bride_ZV_.5_.5_.91_600_v1.csv,ZV | L=0.6 m,ZV,"[0.5, 0.5]","[0.0, 0.867]",1.0,1.454,289.0,2.244,2.244,200.0,21.0,16.0,18.8571,21.0,6.8658,13.6,0.6476,8.31,5.5,4.0,1.38,1.558,-11.423,0.6501,0.0,1.221,3.465,True,"measured period is -11 % off the pendulum value (small-amplitude quantisation, or wrong cable tag)"
B,ZV,1500.0,600.0,603.0,2.0,Bride_ZV_.5_.5_.91_600_v2.csv,ZV | L=0.6 m,ZV,"[0.5, 0.5]","[0.0, 0.842]",1.0,1.454,297.0,2.397,2.397,200.0,19.0,13.0,16.625,19.0,6.1042,12.4,0.6526,8.52,6.0,4.5,1.5344,1.558,-1.5179,0.6499,0.0,0.97,3.367,True,
B,ZV,1500.0,600.0,603.0,3.0,Bride_ZV_.5_.5_.91_600_v3.csv,ZV | L=0.6 m,ZV,"[0.5, 0.5]","[0.0, 0.842]",1.0,1.505,288.0,2.296,2.296,200.0,42.0,42.0,39.1429,42.0,13.6195,21.9,0.5214,10.66,7.0,4.0,1.5533,1.558,-0.2996,0.6495,0.0061,3.465,5.761,True,
B,ZV,1500.0,900.0,900.0,1.0,Bride_ZV_.5_.5_.91_900_v1.csv,ZV | L=0.9 m,ZV,"[0.5, 0.5]","[0.0, 0.791]",1.0,1.454,297.0,2.398,2.347,200.0,35.0,35.0,33.25,35.0,11.7761,25.9,0.74,5.3,2.5,2.5,1.8957,1.9034,-0.4031,0.5371,0.0077,5.761,8.158,False,"only 2.5 residual cycles recorded (handout asks for 4-5) - weakest trials, avoid for plots"
B,ZV,1500.0,900.0,900.0,2.0,Bride_ZV_.5_.5_.91_900_v2.csv,ZV | L=0.9 m,ZV,"[0.5, 0.5]","[0.0, 0.816]",1.0,1.454,297.0,2.397,2.347,200.0,16.0,16.0,14.8571,16.0,5.4261,28.5,1.7812,10.76,6.0,4.0,1.8984,1.9034,-0.2616,0.5363,0.0091,1.17,3.567,True,
B,ZV,1500.0,900.0,900.0,3.0,Bride_ZV_.5_.5_.91_900_v3.csv,ZV | L=0.9 m,ZV,"[0.5, 0.5]","[0.0, 0.842]",1.0,1.454,296.0,2.397,2.397,200.0,32.0,32.0,31.0,32.0,10.9226,24.6,0.7688,9.18,4.5,4.0,1.8987,1.9034,-0.2483,0.5168,0.004,2.092,4.489,True,
