file,move_index,direction,cable_infile_mm,move_t0,move_t1,move_dur_s,move_dist_mm,peak_vel_mm_s,rise_time_s,resid_window_s,cycles_available,pred_amp_pp_mm,applied_amps,applied_delays_s,applied_amp_sum,applied_pattern,mirror_amps,mirror_matches_shaper,tf_inferred_s,v_top_mm_s,plateau_fracs,t0,t1,window_s,n_extrema,n_cycles,amp_pp_mean,amp_pp_first,amp_pp_max,amp_single_mean,rms,period_zc,freq_zc_hz,freq_fft_hz,freq_fft2_hz,zeta,offset,amp_pp_mean_full,rms_full,part,shaper,tf_ms,cable_nom_mm,trial
Bride_ZV_.5_.5_.91_900_v1.csv,0,outbound,900.0,5.761,8.158,2.398,297.0,200.0,2.347,5.3,3.0,25.9,"[0.5, 0.5]","[0.0, 0.791]",1.0,ZV,"[-0.5, -0.5]",True,1.454,200.0,"[0.5, 1.0, 0.5]",8.158447,13.46333,5.3048829999999985,6,3.0,30.6,20.0,35.0,15.3,11.77614071902909,1.8957265598958326,0.527502236427467,0.5370734102627065,0.38362386447336183,0.0,7.703125,30.6,11.77614071902909,B,ZV,1500.0,900.0,1.0
Bride_ZV_.5_.5_.91_900_v1.csv,1,return,900.0,13.719,16.014,2.295,-290.0,200.0,2.244,6.89,4.0,22.1,"[0.5, 0.5]","[0.0, 0.841]",1.0,ZV,"[-0.5, -0.5]",True,1.453,200.0,"[0.5, 1.0, 0.5]",16.01361,22.89964,6.886030000000002,8,4.0,35.42857142857143,43.0,43.0,17.714285714285715,12.299141741069757,1.919341245644599,0.5210120932216804,0.5173079752795631,0.6705844123994337,0.015786767613500674,6.780487804878048,35.42857142857143,12.299141741069757,B,ZV,1500.0,900.0,1.0
Bride_ZV_.5_.5_.91_900_v2.csv,0,outbound,900.0,1.17,3.567,2.397,297.0,200.0,2.347,10.76,6.0,28.5,"[0.5, 0.5]","[0.0, 0.816]",1.0,ZV,"[-0.5, -0.5]",True,1.454,200.0,"[0.5, 1.0, 0.5]",3.567077,11.06519,7.498113,9,4.5,14.0,8.0,16.0,7.0,5.42609386525112,1.8984214956304621,0.5267534118749019,0.5363228479662603,0.3830877485473288,0.0,7.2204724409448815,14.0,5.419290981062881,B,ZV,1500.0,900.0,2.0
Bride_ZV_.5_.5_.91_900_v2.csv,1,return,900.0,14.585,16.931,2.346,-293.0,200.0,2.295,6.73,4.0,18.3,"[0.5, 0.5]","[0.0, 0.842]",1.0,ZV,"[-0.5, -0.5]",True,1.479,200.0,"[0.5, 1.0, 0.5]",16.93109,23.66406,6.732969999999998,8,4.0,34.142857142857146,41.0,41.0,17.071428571428573,11.941877734878267,1.8926083127572024,0.5283713451216819,0.5178922170390384,0.6713417628283832,0.014052146302563047,6.691358024691359,34.142857142857146,11.941877734878267,B,ZV,1500.0,900.0,2.0
Bride_ZV_.5_.5_.91_900_v3.csv,0,outbound,900.0,2.092,4.489,2.397,296.0,200.0,2.397,9.18,5.0,24.6,"[0.5, 0.5]","[0.0, 0.842]",1.0,ZV,"[-0.5, -0.5]",True,1.454,200.0,"[0.5, 1.0, 0.5]",4.489081,12.03838,7.549299,8,4.0,31.714285714285715,35.0,35.0,15.857142857142858,10.922612997787292,1.89867470945083,0.5266831622196299,0.516811138987439,0.6699403653540876,0.005433966055514963,7.622641509433962,31.11111111111111,10.648281666841378,B,ZV,1500.0,900.0,3.0
Bride_ZV_.5_.5_.91_900_v3.csv,1,return,900.0,13.977,16.271,2.295,-289.0,200.0,2.244,7.8,4.5,15.1,"[0.5, 0.5]","[0.0, 0.842]",1.0,ZV,"[-0.5, -0.5]",True,1.428,200.0,"[0.5, 1.0, 0.5]",16.27147,23.76957,7.498100000000001,8,4.0,20.714285714285715,29.0,29.0,10.357142857142858,7.208271892310208,1.8946385714285725,0.5278051524338978,0.5359155274633813,0.38279680533098664,0.019621106995872675,7.840425531914892,20.5,7.249802919536094,B,ZV,1500.0,900.0,3.0
Bridge_100_-100_1100_v1.csv,0,outbound,799.0,1.429,2.602,1.173,207.0,200.0,1.173,4.03,2.5,213.2,[0.995],[0.0],0.995,unshaped,[-0.995],True,1.097,201.0,[0.995],2.601754,6.630876,4.029121999999999,5,2.5,230.25,104.0,275.0,115.125,97.00087628470168,1.7880574748376623,0.5592661388531652,0.5363044394975052,0.6895342793539352,0.0,-2.5,230.25,97.00087628470168,A,Unshaped,1100.0,800.0,1.0
Bridge_100_-100_1100_v1.csv,1,return,799.0,6.938,8.06,1.122,-205.0,200.0,1.122,11.99,7.5,217.3,[0.995],[0.0],0.995,unshaped,[-0.995],True,1.097,201.0,[0.995],8.06007,14.79249,6.732420000000001,8,4.0,41.857142857142854,31.0,45.0,20.928571428571427,15.031711271508645,1.7880314166666664,0.5592742894105562,0.5556270845595404,0.7089035216794136,0.0,8.377622377622378,83.64285714285714,36.97377717440722,A,Unshaped,1100.0,800.0,1.0
Bridge_100_-100_1100_v1.csv,2,extra2,799.0,81.102,82.224,1.122,-205.0,200.0,1.122,4.18,3.0,215.9,[0.995],[0.0],0.995,unshaped,[-0.995],True,1.046,201.0,[0.995],82.22446,86.40693,4.182470000000009,6,3.0,210.0,88.0,246.0,105.0,87.19295983563099,1.844662698412705,0.5421045272181628,0.5354957160342296,0.6884944920440096,0.0,22.142857142857142,210.0,87.19295983563099,A,Unshaped,1100.0,800.0,1.0
Bridge_100_-100_1100_v1.csv,3,extra3,799.0,86.663,87.835,1.173,206.0,201.0,1.122,5.1,3.0,214.2,[0.995],[0.0],0.995,unshaped,[-0.995],True,1.122,201.0,[0.995],87.8353,92.9361,5.1007999999999925,6,3.0,121.4,101.0,130.0,60.7,43.47943974474697,1.8138433684210469,0.5513155200774041,0.5355743805699564,0.6885956321613727,0.0,2.3157894736842106,121.4,43.47943974474697,A,Unshaped,1100.0,800.0,1.0
Bridge_100_-100_1100_v1.csv,4,extra4,799.0,93.243,97.017,3.774,-755.0,200.0,3.723,11.99,7.0,87.6,[0.995],[0.0],0.995,unshaped,[-0.995],True,3.749,201.0,[0.995],97.01664,104.209,7.192360000000008,9,4.5,115.0,40.0,132.0,57.5,43.988721423300625,1.8140969906223365,0.5512384426904011,0.5553002450980181,0.40211397058822,0.0,5.361111111111111,113.92307692307692,42.316041598230925,A,Unshaped,1100.0,800.0,1.0
Bridge_100_-100_1100_v2.csv,0,outbound,799.0,0.609,1.782,1.173,206.0,200.0,1.122,3.37,2.5,214.2,[1.0],[0.0],1.0,unshaped,[-1.0],True,1.097,200.0,[1.0],1.781954,5.148369,3.366415,5,2.5,219.5,82.0,267.0,109.75,95.69372867908764,1.8071976717453277,0.5533428996918944,0.5746344405542962,0.42139858973981725,0.0,7.317073170731708,219.5,95.69372867908764,A,Unshaped,1100.0,800.0,2.0
